player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,17.50558992179325,1.5755030929613922,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,12.228595939179444,1.1005736345261499,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,10.507940769363625,0.9457146692427262,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,9.47109045937778,0.8523981413440002,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,9.04343281722651,0.8139089535503858,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,8.574093341524792,0.7716684007372312,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,8.457799082754795,0.7612019174479315,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,8.074786131462588,0.7267307518316329,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,7.931976165306439,0.7138778548775795,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,7.820261631009132,0.7038235467908219,classic_ballstriker,"Classic shot-making course, ball-striking premium"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,7.496869575485265,0.6747182617936738,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,6.513785709883013,0.5862407138894712,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,6.073972340948561,0.5466575106853705,classic_ballstriker,"Classic shot-making course, ball-striking premium"
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,5.760198345272174,0.5184178510744957,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Aaron Rai,0.33,0.282,0.33,0.39,0.48,0.08,-0.13,86,A,92,87,81,77,87,93,5.704811254600388,0.5134330129140349,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Bud Cauley,0.23,0.157,0.226,0.15,0.38,0.0,0.12,83,A,88,86,78,82,94,95,5.617703401884375,0.5055933061695937,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,5.4788382745742386,0.49309544471168143,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Lee Hodges,0.25,0.202,0.246,0.08,0.46,0.06,0.06,84,A,87,87,80,80,92,94,5.41281630486832,0.4871534674381488,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,5.4125241471870496,0.48712717324683447,classic_ballstriker,"Classic shot-making course, ball-striking premium"
