player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,15.121082697720437,1.3608974427948393,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,10.784063363287984,0.9705657026959186,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,9.068815981323137,0.8161934383190823,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,8.563395208843886,0.7707055687959498,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,8.17060337905855,0.7353543041152695,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,7.912159842450835,0.7120943858205752,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,7.7020614905575435,0.6931855341501789,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,7.634399692054579,0.6870959722849121,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,7.180442240627837,0.6462398016565053,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,7.1264108959877746,0.6413769806388997,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,6.738122198550164,0.6064309978695147,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,5.874278127340531,0.5286850314606478,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,5.752468803465398,0.5177221923118858,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,5.677005651149602,0.5109305086034641,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Bud Cauley,0.23,0.157,0.226,0.15,0.38,0.0,0.12,83,A,88,86,78,82,94,95,5.425509808336904,0.4882958827503213,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Aaron Rai,0.33,0.282,0.33,0.39,0.48,0.08,-0.13,86,A,92,87,81,77,87,93,5.359001950899755,0.4823101755809779,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,5.129365197117599,0.4616428677405839,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Lee Hodges,0.25,0.202,0.246,0.08,0.46,0.06,0.06,84,A,87,87,80,80,92,94,5.103238608259989,0.459291474743399,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Alex Smalley,0.18,0.166,0.183,0.41,0.08,0.12,0.04,82,B,92,82,83,80,93,93,5.0942499023029555,0.458482491207266,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Michael Kim,0.2,0.165,0.201,0.04,0.37,0.16,-0.0,83,B,86,86,84,79,93,94,5.038611474301926,0.4534750326871733,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,4.9782655415251025,0.4480438987372592,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Kurt Kitayama,0.33,0.351,0.334,0.54,0.39,0.17,-0.27,86,A,95,86,84,74,84,91,4.949106761250617,0.4454196085125555,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Maverick McNealy,0.21,0.186,0.205,0.18,0.28,-0.08,0.35,83,B,89,84,76,86,92,93,4.575679961430032,0.41181119652870285,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Kevin Roy,0.12,0.132,0.121,0.29,0.03,0.01,0.19,81,B,90,81,79,83,95,93,4.228787227008448,0.3805908504307603,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Si Woo Kim,0.31,0.372,0.31,0.34,0.42,0.35,-0.37,85,A,91,87,90,72,82,89,4.2122520364347045,0.3791026832791234,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Corey Conners,0.25,0.241,0.248,0.39,0.32,-0.15,0.13,84,A,92,85,73,82,89,93,4.206366886294265,0.37857301976648383,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Patrick Fishburn,0.15,0.136,0.152,0.26,0.14,-0.06,0.17,81,B,90,82,76,83,95,93,4.12250067311871,0.37102506058068385,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ryan Fox,0.14,0.16,0.145,-0.05,0.3,0.02,0.19,81,B,85,85,79,83,94,93,3.9628660077338926,0.35665794069605034,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Hideki Matsuyama,0.23,0.341,0.234,-0.17,0.48,0.48,-0.03,83,A,82,87,94,79,84,89,3.9570612349004715,0.3561355111410424,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Kevin Yu,0.3,0.336,0.304,0.62,0.31,-0.14,0.01,85,A,96,85,73,80,84,91,3.893600344671497,0.3504240310204347,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Adam Scott,0.18,0.192,0.175,0.35,0.17,0.03,-0.1,82,B,91,83,79,77,92,93,3.876871015039954,0.34891839135359587,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Taylor Pendrith,0.22,0.259,0.218,0.54,0.13,-0.03,0.03,83,A,95,82,77,80,88,91,3.7768588386397655,0.3399172954775789,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Andrew Novak,0.04,0.108,0.04,0.04,-0.04,0.16,0.2,79,C,86,80,84,83,97,93,3.771469472238099,0.3394322525014289,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Brian Harman,0.05,0.062,0.051,-0.02,0.07,0.13,0.04,79,B,85,81,83,80,99,94,3.7539910811063057,0.3378591972995675,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Shane Lowry,0.36,0.392,0.363,0.08,0.76,0.04,-0.12,86,A,87,91,80,77,81,90,3.651705842219258,0.3286535257997332,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Collin Morikawa,0.45,0.493,0.453,0.49,0.76,-0.05,-0.31,89,S,94,91,77,73,76,89,3.597742349531314,0.32379681145781825,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ricky Castillo,0.14,0.206,0.145,0.36,0.06,0.16,-0.14,81,B,92,81,84,77,91,91,3.5898234391924673,0.323084109527322,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jason Day,0.04,0.173,0.039,0.09,-0.11,0.3,0.17,79,C,87,79,89,83,93,91,3.488710734811775,0.31398396613305973,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Rickie Fowler,0.1,0.144,0.104,0.28,0.04,-0.06,0.08,80,B,90,81,76,81,95,93,3.325143068661387,0.2992628761795248,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Vince Whaley,0.03,0.152,0.031,-0.0,-0.05,0.2,0.26,79,C,85,80,85,85,94,91,3.1608073504185645,0.2844726615376708,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ryo Hisatsune,0.11,0.175,0.112,0.14,0.15,0.14,-0.2,80,B,88,83,83,75,93,91,2.9501635567254354,0.2655147201052892,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Chris Gotterup,0.17,0.28,0.169,0.57,-0.01,0.03,0.0,82,B,95,80,79,79,87,90,2.9386840448735754,0.2644815640386218,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
