player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,17.9632787224252,1.616695085018268,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,12.00509190098327,1.0804582710884942,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,9.927407117911532,0.8934666406120378,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,9.374505221048867,0.843705469894398,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,9.301343647796141,0.8371209283016526,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,8.586014095151112,0.7727412685636,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,8.10436312265278,0.7293926810387501,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,8.057815270743518,0.7252033743669166,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,8.018867850367315,0.7216981065330583,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,7.843797116686151,0.7059417405017535,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,7.785627761447083,0.7007064985302375,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,6.820816346119324,0.6138734711507391,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Aaron Rai,0.33,0.282,0.33,0.39,0.48,0.08,-0.13,86,A,92,87,81,77,87,93,6.197796297391303,0.5578016667652173,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,6.1028241053887164,0.5492541694849845,pga_ballstriker_major,"Modern PGA: long, tee-to-green heavy, major setup"
