player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,15.503694697767095,1.3953325227990385,short_positional_strategy,"Short, doglegs, play-to-spots course"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,11.703281770361713,1.053295359332554,short_positional_strategy,"Short, doglegs, play-to-spots course"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,10.544349683550738,0.9489914715195664,short_positional_strategy,"Short, doglegs, play-to-spots course"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,9.09965328131079,0.8189687953179711,short_positional_strategy,"Short, doglegs, play-to-spots course"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,8.50104136159247,0.7650937225433223,short_positional_strategy,"Short, doglegs, play-to-spots course"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,7.8746252185923185,0.7087162696733086,short_positional_strategy,"Short, doglegs, play-to-spots course"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,7.654262599835655,0.6888836339852089,short_positional_strategy,"Short, doglegs, play-to-spots course"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,7.445151449254121,0.6700636304328709,short_positional_strategy,"Short, doglegs, play-to-spots course"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,7.122112482611389,0.6409901234350249,short_positional_strategy,"Short, doglegs, play-to-spots course"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,6.753515530368687,0.6078163977331817,short_positional_strategy,"Short, doglegs, play-to-spots course"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,6.478234031420019,0.5830410628278017,short_positional_strategy,"Short, doglegs, play-to-spots course"
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,6.1693327047888555,0.555239943430997,short_positional_strategy,"Short, doglegs, play-to-spots course"
Hideki Matsuyama,0.23,0.341,0.234,-0.17,0.48,0.48,-0.03,83,A,82,87,94,79,84,89,5.797543789678807,0.5217789410710926,short_positional_strategy,"Short, doglegs, play-to-spots course"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,5.753541551130952,0.5178187396017856,short_positional_strategy,"Short, doglegs, play-to-spots course"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,5.647249607212161,0.5082524646490945,short_positional_strategy,"Short, doglegs, play-to-spots course"
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,5.491602489884975,0.4942442240896477,short_positional_strategy,"Short, doglegs, play-to-spots course"
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,5.377460566297927,0.4839714509668134,short_positional_strategy,"Short, doglegs, play-to-spots course"
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,5.275206368467289,0.474768573162056,short_positional_strategy,"Short, doglegs, play-to-spots course"
Michael Kim,0.2,0.165,0.201,0.04,0.37,0.16,-0.0,83,B,86,86,84,79,93,94,5.080141045177073,0.45721269406593656,short_positional_strategy,"Short, doglegs, play-to-spots course"
Bud Cauley,0.23,0.157,0.226,0.15,0.38,0.0,0.12,83,A,88,86,78,82,94,95,4.992975297149528,0.44936777674345746,short_positional_strategy,"Short, doglegs, play-to-spots course"
Lee Hodges,0.25,0.202,0.246,0.08,0.46,0.06,0.06,84,A,87,87,80,80,92,94,4.921866329319787,0.4429679696387808,short_positional_strategy,"Short, doglegs, play-to-spots course"
Maverick McNealy,0.21,0.186,0.205,0.18,0.28,-0.08,0.35,83,B,89,84,76,86,92,93,4.451180926608197,0.40060628339473775,short_positional_strategy,"Short, doglegs, play-to-spots course"
Matt Wallace,0.07,0.27,0.069,-0.16,0.09,0.48,0.04,79,B,83,82,95,80,88,88,4.425829476220937,0.3983246528598843,short_positional_strategy,"Short, doglegs, play-to-spots course"
Aaron Rai,0.33,0.282,0.33,0.39,0.48,0.08,-0.13,86,A,92,87,81,77,87,93,4.27232957406697,0.3845096616660273,short_positional_strategy,"Short, doglegs, play-to-spots course"
Ryan Fox,0.14,0.16,0.145,-0.05,0.3,0.02,0.19,81,B,85,85,79,83,94,93,4.245042353344421,0.3820538118009979,short_positional_strategy,"Short, doglegs, play-to-spots course"
Alex Smalley,0.18,0.166,0.183,0.41,0.08,0.12,0.04,82,B,92,82,83,80,93,93,4.170688618482679,0.37536197566344104,short_positional_strategy,"Short, doglegs, play-to-spots course"
Jason Day,0.04,0.173,0.039,0.09,-0.11,0.3,0.17,79,C,87,79,89,83,93,91,4.163588279393573,0.37472294514542154,short_positional_strategy,"Short, doglegs, play-to-spots course"
Matt Kuchar,0.04,0.276,0.041,-0.26,0.1,0.26,0.37,79,C,81,82,87,87,88,88,4.085413804265875,0.36768724238392875,short_positional_strategy,"Short, doglegs, play-to-spots course"
Andrew Novak,0.04,0.108,0.04,0.04,-0.04,0.16,0.2,79,C,86,80,84,83,97,93,4.0480579547443645,0.3643252159269928,short_positional_strategy,"Short, doglegs, play-to-spots course"
Mac Meissner,0.14,0.244,0.14,-0.17,0.34,0.28,-0.03,81,B,82,85,88,79,89,90,3.9904261949279194,0.35913835754351275,short_positional_strategy,"Short, doglegs, play-to-spots course"
Vince Whaley,0.03,0.152,0.031,-0.0,-0.05,0.2,0.26,79,C,85,80,85,85,94,91,3.9845134801896,0.358606213217064,short_positional_strategy,"Short, doglegs, play-to-spots course"
Garrick Higgo,0.07,0.329,0.069,0.13,-0.11,0.11,0.66,79,B,88,79,82,93,85,86,3.6660061979653156,0.32994055781687837,short_positional_strategy,"Short, doglegs, play-to-spots course"
Si Woo Kim,0.31,0.372,0.31,0.34,0.42,0.35,-0.37,85,A,91,87,90,72,82,89,3.657616312785223,0.32918546815067007,short_positional_strategy,"Short, doglegs, play-to-spots course"
Brian Harman,0.05,0.062,0.051,-0.02,0.07,0.13,0.04,79,B,85,81,83,80,99,94,3.647741894474311,0.32829677050268796,short_positional_strategy,"Short, doglegs, play-to-spots course"
Shane Lowry,0.36,0.392,0.363,0.08,0.76,0.04,-0.12,86,A,87,91,80,77,81,90,3.600034776354117,0.3240031298718705,short_positional_strategy,"Short, doglegs, play-to-spots course"
Kevin Roy,0.12,0.132,0.121,0.29,0.03,0.01,0.19,81,B,90,81,79,83,95,93,3.556698746681464,0.3201028872013318,short_positional_strategy,"Short, doglegs, play-to-spots course"
Stephan Jaeger,0.05,0.31,0.054,-0.37,0.22,0.27,0.25,79,B,79,84,88,84,86,87,3.5232649226732002,0.317093843040588,short_positional_strategy,"Short, doglegs, play-to-spots course"
Kurt Kitayama,0.33,0.351,0.334,0.54,0.39,0.17,-0.27,86,A,95,86,84,74,84,91,3.494575822231963,0.3145118240008767,short_positional_strategy,"Short, doglegs, play-to-spots course"
Patrick Fishburn,0.15,0.136,0.152,0.26,0.14,-0.06,0.17,81,B,90,82,76,83,95,93,3.28314737342137,0.29548326360792326,short_positional_strategy,"Short, doglegs, play-to-spots course"
Matt McCarty,0.05,0.212,0.054,0.09,-0.06,0.05,0.44,79,B,87,80,80,88,91,89,3.1859662363168066,0.2867369612685126,short_positional_strategy,"Short, doglegs, play-to-spots course"
Max Greyserman,0.01,0.155,0.011,-0.07,-0.03,0.14,0.26,78,C,84,80,83,85,94,90,3.1598035847897825,0.28438232263108043,short_positional_strategy,"Short, doglegs, play-to-spots course"
Corey Conners,0.25,0.241,0.248,0.39,0.32,-0.15,0.13,84,A,92,85,73,82,89,93,2.9772698154571726,0.2679542833911455,short_positional_strategy,"Short, doglegs, play-to-spots course"
Andrew Putnam,0.04,0.549,0.036,-0.69,0.29,0.46,0.44,79,C,73,85,94,88,73,79,2.920210381665197,0.26281893434986775,short_positional_strategy,"Short, doglegs, play-to-spots course"
Harris English,0.09,0.226,0.089,0.26,-0.07,0.0,0.42,80,B,90,79,78,88,90,90,2.885482415612475,0.25969341740512275,short_positional_strategy,"Short, doglegs, play-to-spots course"
Viktor Hovland,0.43,0.499,0.428,0.1,0.94,-0.13,-0.07,88,S,87,94,74,78,76,89,2.75020138223338,0.2475181244010042,short_positional_strategy,"Short, doglegs, play-to-spots course"
Mark Hubbard,0.04,0.106,0.044,-0.02,0.09,-0.06,0.18,79,B,85,82,76,83,97,93,2.562201730658414,0.23059815575925727,short_positional_strategy,"Short, doglegs, play-to-spots course"
Ricky Castillo,0.14,0.206,0.145,0.36,0.06,0.16,-0.14,81,B,92,81,84,77,91,91,2.548247248222963,0.22934225234006667,short_positional_strategy,"Short, doglegs, play-to-spots course"
Akshay Bhatia,0.26,0.348,0.258,0.02,0.57,-0.24,0.28,84,A,86,89,70,85,84,90,2.5422772812957595,0.22880495531661835,short_positional_strategy,"Short, doglegs, play-to-spots course"
Adam Scott,0.18,0.192,0.175,0.35,0.17,0.03,-0.1,82,B,91,83,79,77,92,93,2.5187500416970545,0.2266875037527349,short_positional_strategy,"Short, doglegs, play-to-spots course"
Denny McCarthy,0.08,0.4,0.078,-0.26,0.2,-0.03,0.68,80,B,81,83,78,93,81,85,2.5170649692628326,0.22653584723365494,short_positional_strategy,"Short, doglegs, play-to-spots course"
Cameron Young,0.1,0.35,0.099,0.32,-0.12,-0.03,0.64,80,B,91,79,77,92,84,86,2.514117349588578,0.226270561462972,short_positional_strategy,"Short, doglegs, play-to-spots course"
Christiaan Bezuidenhout,-0.03,0.373,-0.028,-0.38,-0.01,0.31,0.46,77,C,79,80,89,89,82,83,2.4701449461156773,0.22231304515041095,short_positional_strategy,"Short, doglegs, play-to-spots course"
Victor Perez,0.23,0.288,0.232,0.09,0.48,-0.22,0.22,83,A,87,87,71,84,87,91,2.4583000334585963,0.22124700301127365,short_positional_strategy,"Short, doglegs, play-to-spots course"
Sam Burns,0.09,0.501,0.087,0.15,-0.12,-0.01,0.98,80,B,88,79,78,99,75,81,2.361380433639701,0.2125242390275731,short_positional_strategy,"Short, doglegs, play-to-spots course"
Jake Knapp,0.11,0.246,0.108,0.25,0.0,-0.09,0.46,80,B,90,80,75,88,89,89,2.3342649650520664,0.21008384685468598,short_positional_strategy,"Short, doglegs, play-to-spots course"
Taylor Pendrith,0.22,0.259,0.218,0.54,0.13,-0.03,0.03,83,A,95,82,77,80,88,91,2.257613776031303,0.20318523984281725,short_positional_strategy,"Short, doglegs, play-to-spots course"
Xander Schauffele,0.26,0.328,0.262,0.08,0.58,-0.02,-0.18,84,A,87,89,78,76,85,90,2.2468089332027974,0.20221280398825175,short_positional_strategy,"Short, doglegs, play-to-spots course"
Rickie Fowler,0.1,0.144,0.104,0.28,0.04,-0.06,0.08,80,B,90,81,76,81,95,93,2.197144347683919,0.19774299129155273,short_positional_strategy,"Short, doglegs, play-to-spots course"
Ryo Hisatsune,0.11,0.175,0.112,0.14,0.15,0.14,-0.2,80,B,88,83,83,75,93,91,2.165920110519179,0.1949328099467261,short_positional_strategy,"Short, doglegs, play-to-spots course"
Lucas Glover,0.23,0.319,0.234,0.12,0.46,0.16,-0.32,83,A,87,87,84,73,85,89,2.124313959747334,0.19118825637726006,short_positional_strategy,"Short, doglegs, play-to-spots course"
Nicolai Højgaard,0.31,0.364,0.309,0.21,0.6,-0.29,0.19,85,A,89,89,69,83,83,90,2.119385408543036,0.19074468676887324,short_positional_strategy,"Short, doglegs, play-to-spots course"
Sami Valimaki,0.17,0.444,0.173,-0.3,0.52,-0.16,0.55,82,B,80,88,73,90,79,85,2.1144178811565277,0.19029760930408748,short_positional_strategy,"Short, doglegs, play-to-spots course"
Kevin Yu,0.3,0.336,0.304,0.62,0.31,-0.14,0.01,85,A,96,85,73,80,84,91,2.0540897028732403,0.18486807325859161,short_positional_strategy,"Short, doglegs, play-to-spots course"
Jacob Bridgeman,-0.02,0.23,-0.023,-0.09,-0.11,0.1,0.39,77,C,84,79,82,87,90,87,2.0407858143127338,0.18367072328814604,short_positional_strategy,"Short, doglegs, play-to-spots course"
Collin Morikawa,0.45,0.493,0.453,0.49,0.76,-0.05,-0.31,89,S,94,91,77,73,76,89,2.0027927907699095,0.18025135116929183,short_positional_strategy,"Short, doglegs, play-to-spots course"
Chris Kirk,0.2,0.285,0.199,0.12,0.39,0.12,-0.3,83,B,87,86,83,73,87,91,1.9670951610619873,0.17703856449557887,short_positional_strategy,"Short, doglegs, play-to-spots course"
Patrick Rodgers,-0.0,0.115,-0.002,0.12,-0.13,0.11,0.04,78,C,87,79,82,80,96,91,1.8930156525312347,0.17037140872781112,short_positional_strategy,"Short, doglegs, play-to-spots course"
Tom Kim,0.03,0.195,0.026,-0.2,0.15,0.2,-0.1,78,C,82,83,85,77,92,89,1.8571429488245514,0.1671428653942096,short_positional_strategy,"Short, doglegs, play-to-spots course"
Emiliano Grillo,0.18,0.265,0.181,0.18,0.3,-0.26,0.29,82,B,89,85,70,85,88,90,1.7793266777437489,0.16013940099693738,short_positional_strategy,"Short, doglegs, play-to-spots course"
