player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,16.913063523177662,1.5221757170859895,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,12.345642023120678,1.111107782080861,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,10.569811449921499,0.9512830304929348,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,9.805650746962115,0.8825085672265903,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,9.466065448899382,0.8519458904009444,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,8.870316675086361,0.7983285007577724,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,8.74311250908169,0.7868801258173521,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,8.360990201791981,0.7524891181612783,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,7.714355949927423,0.6942920354934681,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,7.6310558734241045,0.6867950286081694,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,7.142507566600264,0.6428256809940237,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,6.495265749095414,0.5845739174185872,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,6.355357063604268,0.5719821357243842,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,5.985223832988059,0.5386701449689253,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,5.946742724158677,0.535206845174281,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Bud Cauley,0.23,0.157,0.226,0.15,0.38,0.0,0.12,83,A,88,86,78,82,94,95,5.655432960354684,0.5089889664319216,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,5.435212049438848,0.48916908444949625,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,5.389773428446903,0.48507960856022125,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Lee Hodges,0.25,0.202,0.246,0.08,0.46,0.06,0.06,84,A,87,87,80,80,92,94,5.299803509021457,0.47698231581193107,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Michael Kim,0.2,0.165,0.201,0.04,0.37,0.16,-0.0,83,B,86,86,84,79,93,94,5.274183500411064,0.47467651503699576,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Alex Smalley,0.18,0.166,0.183,0.41,0.08,0.12,0.04,82,B,92,82,83,80,93,93,5.221684386736511,0.46995159480628595,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Maverick McNealy,0.21,0.186,0.205,0.18,0.28,-0.08,0.35,83,B,89,84,76,86,92,93,5.204809940458647,0.4684328946412782,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
