player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,16.585781727167205,1.4927203554450483,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,12.369385005558453,1.1132446505002607,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,10.716864573343425,0.9645178116009082,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,9.780741407092938,0.8802667266383644,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,9.437800856255091,0.8494020770629581,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,8.913159069700551,0.8021843162730496,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,7.9361223592245045,0.7142510123302054,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,7.779621809500444,0.70016596285504,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,7.771465543440859,0.6994318989096773,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,7.053434223715375,0.6348090801343838,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,6.8467834582874385,0.6162105112458695,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,6.784981925596712,0.6106483733037041,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,6.291845019228811,0.566266051730593,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,6.287333195606301,0.5658599876045671,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
