player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,17.540776481472072,1.7540776481472073,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,13.555906684819195,1.3555906684819197,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,12.39008882892554,1.239008882892554,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,10.753518721047463,1.0753518721047464,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,10.263676237731719,1.026367623773172,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,10.101032463691258,1.0101032463691257,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,9.750229992955433,0.9750229992955433,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,9.177110337181489,0.9177110337181489,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,9.116589814738385,0.9116589814738385,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,7.690717543379029,0.769071754337903,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,7.415378603812503,0.7415378603812504,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,6.963196170184825,0.6963196170184826,wind_links_open,"Open Championship-style links: wind, firm, ground game"
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,6.953556002088191,0.6953556002088191,wind_links_open,"Open Championship-style links: wind, firm, ground game"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,6.929306817647252,0.6929306817647252,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,6.854927764964573,0.6854927764964573,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Hideki Matsuyama,0.23,0.341,0.234,-0.17,0.48,0.48,-0.03,83,A,82,87,94,79,84,89,6.402969324383705,0.6402969324383706,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,5.962320250781746,0.5962320250781746,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,5.924324392503788,0.5924324392503788,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Michael Kim,0.2,0.165,0.201,0.04,0.37,0.16,-0.0,83,B,86,86,84,79,93,94,5.9036808283086515,0.5903680828308652,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jason Day,0.04,0.173,0.039,0.09,-0.11,0.3,0.17,79,C,87,79,89,83,93,91,5.820242190053747,0.5820242190053747,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Bud Cauley,0.23,0.157,0.226,0.15,0.38,0.0,0.12,83,A,88,86,78,82,94,95,5.756775683919023,0.5756775683919023,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Alex Smalley,0.18,0.166,0.183,0.41,0.08,0.12,0.04,82,B,92,82,83,80,93,93,5.691969981549348,0.5691969981549349,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Matt Wallace,0.07,0.27,0.069,-0.16,0.09,0.48,0.04,79,B,83,82,95,80,88,88,5.5269521786922375,0.5526952178692238,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Lee Hodges,0.25,0.202,0.246,0.08,0.46,0.06,0.06,84,A,87,87,80,80,92,94,5.481963523313053,0.5481963523313053,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Andrew Novak,0.04,0.108,0.04,0.04,-0.04,0.16,0.2,79,C,86,80,84,83,97,93,5.415519758387251,0.5415519758387252,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Vince Whaley,0.03,0.152,0.031,-0.0,-0.05,0.2,0.26,79,C,85,80,85,85,94,91,5.209796620106632,0.5209796620106631,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Maverick McNealy,0.21,0.186,0.205,0.18,0.28,-0.08,0.35,83,B,89,84,76,86,92,93,5.20303518087495,0.5203035180874951,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Aaron Rai,0.33,0.282,0.33,0.39,0.48,0.08,-0.13,86,A,92,87,81,77,87,93,5.044362352238228,0.5044362352238229,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Kevin Roy,0.12,0.132,0.121,0.29,0.03,0.01,0.19,81,B,90,81,79,83,95,93,4.799311123024085,0.4799311123024085,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Brian Harman,0.05,0.062,0.051,-0.02,0.07,0.13,0.04,79,B,85,81,83,80,99,94,4.75476027509053,0.47547602750905305,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ryan Fox,0.14,0.16,0.145,-0.05,0.3,0.02,0.19,81,B,85,85,79,83,94,93,4.735250163090178,0.4735250163090179,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Garrick Higgo,0.07,0.329,0.069,0.13,-0.11,0.11,0.66,79,B,88,79,82,93,85,86,4.718490273877952,0.4718490273877953,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Matt Kuchar,0.04,0.276,0.041,-0.26,0.1,0.26,0.37,79,C,81,82,87,87,88,88,4.6692886377564555,0.4669288637756456,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Kurt Kitayama,0.33,0.351,0.334,0.54,0.39,0.17,-0.27,86,A,95,86,84,74,84,91,4.4917684127131565,0.4491768412713157,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Si Woo Kim,0.31,0.372,0.31,0.34,0.42,0.35,-0.37,85,A,91,87,90,72,82,89,4.4400884582330225,0.44400884582330225,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Mac Meissner,0.14,0.244,0.14,-0.17,0.34,0.28,-0.03,81,B,82,85,88,79,89,90,4.398618356473488,0.4398618356473488,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Patrick Fishburn,0.15,0.136,0.152,0.26,0.14,-0.06,0.17,81,B,90,82,76,83,95,93,4.206622794719747,0.42066227947197476,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Matt McCarty,0.05,0.212,0.054,0.09,-0.06,0.05,0.44,79,B,87,80,80,88,91,89,4.098062233654425,0.40980622336544253,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Max Greyserman,0.01,0.155,0.011,-0.07,-0.03,0.14,0.26,78,C,84,80,83,85,94,90,4.0349371867504695,0.40349371867504696,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Harris English,0.09,0.226,0.089,0.26,-0.07,0.0,0.42,80,B,90,79,78,88,90,90,4.015040789968424,0.40150407899684243,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ricky Castillo,0.14,0.206,0.145,0.36,0.06,0.16,-0.14,81,B,92,81,84,77,91,91,3.8275312592751054,0.38275312592751054,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Stephan Jaeger,0.05,0.31,0.054,-0.37,0.22,0.27,0.25,79,B,79,84,88,84,86,87,3.618585778060957,0.3618585778060957,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Corey Conners,0.25,0.241,0.248,0.39,0.32,-0.15,0.13,84,A,92,85,73,82,89,93,3.4980807557624747,0.3498080755762475,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Adam Scott,0.18,0.192,0.175,0.35,0.17,0.03,-0.1,82,B,91,83,79,77,92,93,3.418400549972831,0.3418400549972831,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Cameron Young,0.1,0.35,0.099,0.32,-0.12,-0.03,0.64,80,B,91,79,77,92,84,86,3.404002140092421,0.34040021400924214,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Taylor Pendrith,0.22,0.259,0.218,0.54,0.13,-0.03,0.03,83,A,95,82,77,80,88,91,3.2816960235211825,0.3281696023521183,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Shane Lowry,0.36,0.392,0.363,0.08,0.76,0.04,-0.12,86,A,87,91,80,77,81,90,3.1801524486690944,0.31801524486690946,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Rickie Fowler,0.1,0.144,0.104,0.28,0.04,-0.06,0.08,80,B,90,81,76,81,95,93,3.1081606618464126,0.3108160661846413,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Mark Hubbard,0.04,0.106,0.044,-0.02,0.09,-0.06,0.18,79,B,85,82,76,83,97,93,3.073493541625676,0.3073493541625676,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jake Knapp,0.11,0.246,0.108,0.25,0.0,-0.09,0.46,80,B,90,80,75,88,89,89,3.064979022681359,0.30649790226813595,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Patrick Rodgers,-0.0,0.115,-0.002,0.12,-0.13,0.11,0.04,78,C,87,79,82,80,96,91,2.958777060432895,0.2958777060432895,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Ryo Hisatsune,0.11,0.175,0.112,0.14,0.15,0.14,-0.2,80,B,88,83,83,75,93,91,2.8633750169303873,0.28633750169303873,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sam Stevens,0.01,0.237,0.011,0.3,-0.25,0.18,0.06,78,C,91,77,85,81,90,88,2.775260938580488,0.2775260938580488,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Wyndham Clark,-0.04,0.246,-0.042,0.09,-0.28,0.3,0.14,77,C,87,76,88,82,89,87,2.764732308160283,0.2764732308160283,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Sam Burns,0.09,0.501,0.087,0.15,-0.12,-0.01,0.98,80,B,88,79,78,99,75,81,2.741446133826189,0.2741446133826189,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Christiaan Bezuidenhout,-0.03,0.373,-0.028,-0.38,-0.01,0.31,0.46,77,C,79,80,89,89,82,83,2.673087193372132,0.2673087193372132,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jacob Bridgeman,-0.02,0.23,-0.023,-0.09,-0.11,0.1,0.39,77,C,84,79,82,87,90,87,2.6421559079218198,0.264215590792182,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chris Gotterup,0.17,0.28,0.169,0.57,-0.01,0.03,0.0,82,B,95,80,79,79,87,90,2.6227846019692906,0.2622784601969291,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Kevin Yu,0.3,0.336,0.304,0.62,0.31,-0.14,0.01,85,A,96,85,73,80,84,91,2.597217287797062,0.2597217287797062,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Takumi Kanaya,-0.06,0.345,-0.057,0.14,-0.4,0.32,0.33,76,C,88,75,89,86,84,83,2.4609615157078424,0.24609615157078424,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chris Kirk,0.2,0.285,0.199,0.12,0.39,0.12,-0.3,83,B,87,86,83,73,87,91,2.1484092741855907,0.2148409274185591,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Denny McCarthy,0.08,0.4,0.078,-0.26,0.2,-0.03,0.68,80,B,81,83,78,93,81,85,2.1445082819053467,0.21445082819053468,wind_links_open,"Open Championship-style links: wind, firm, ground game"
