hole,par,hole_type,player_name,expected_sg_vs_field_per_round
1,4,long_par4_tight,Scottie Scheffler,0.7985635242454312
1,4,long_par4_tight,Tommy Fleetwood,0.43862009740370583
1,4,long_par4_tight,Collin Morikawa,0.10406831586460798
1,4,long_par4_tight,J.J. Spaun,0.2336766189832619
1,4,long_par4_tight,Viktor Hovland,0.025596797526630074
1,4,long_par4_tight,Rico Hoey,-0.20651826047138216
1,4,long_par4_tight,Sepp Straka,0.17059756428813808
1,4,long_par4_tight,Russell Henley,0.30516208187429567
1,4,long_par4_tight,Patrick Cantlay,0.24732652734992355
1,4,long_par4_tight,Shane Lowry,0.04040685124778701
1,4,long_par4_tight,Rory McIlroy,0.29094114438330554
1,4,long_par4_tight,Kurt Kitayama,0.14548989840780635
1,4,long_par4_tight,Ben Griffin,0.28908324408271135
1,4,long_par4_tight,Aaron Rai,0.152202389323465
1,4,long_par4_tight,Si Woo Kim,0.07202745370507632
1,4,long_par4_tight,Nicolai Højgaard,0.0004424639083492435
1,4,long_par4_tight,Kevin Yu,0.09625615452052705
1,4,long_par4_tight,Ben Kohles,-0.13939873824163135
1,4,long_par4_tight,Daniel Berger,0.006513921988861489
1,4,long_par4_tight,Keegan Bradley,0.20829824452294174
1,4,long_par4_tight,Doug Ghim,-0.21491322090602052
1,4,long_par4_tight,Xander Schauffele,-0.019584152835113146
1,4,long_par4_tight,Akshay Bhatia,-0.048463657655221114
1,4,long_par4_tight,Robert MacIntyre,0.2356374606866503
1,4,long_par4_tight,Pierceson Coody,0.004273141654817097
1,4,long_par4_tight,Corey Conners,0.07881304695965001
1,4,long_par4_tight,Lee Hodges,0.09096344776264609
1,4,long_par4_tight,Jordan Spieth,0.2677535575193234
1,4,long_par4_tight,Justin Thomas,0.20473099938727762
1,4,long_par4_tight,Lucas Glover,-0.04261084085931427
1,4,long_par4_tight,Hideki Matsuyama,-0.025389979729913296
1,4,long_par4_tight,Victor Perez,-0.03238463316019758
1,4,long_par4_tight,Ryan Gerard,-0.05681232348065235
1,4,long_par4_tight,Bud Cauley,0.11187984302917424
1,4,long_par4_tight,Nick Taylor,0.0624516639302931
1,4,long_par4_tight,Taylor Pendrith,0.05735313416145399
1,4,long_par4_tight,Keith Mitchell,-0.0071306573865862165
1,4,long_par4_tight,Maverick McNealy,0.05827232694417569
1,4,long_par4_tight,Michael Kim,0.07057445915678043
1,4,long_par4_tight,Chris Kirk,-0.04165196070052887
1,4,long_par4_tight,Thorbjørn Olesen,0.11675989755343237
1,4,long_par4_tight,Gary Woodland,-0.14094692568795109
1,4,long_par4_tight,Steven Fisk,-0.09311016257968542
1,4,long_par4_tight,Michael Thorbjornsen,-0.08627838235534306
1,4,long_par4_tight,Joseph Bramlett,-0.2727662971272156
1,4,long_par4_tight,Alex Smalley,0.0984826797522001
1,4,long_par4_tight,Emiliano Grillo,-0.05623339450405713
1,4,long_par4_tight,Adam Scott,0.03835987658619412
1,4,long_par4_tight,Sami Valimaki,-0.24374165376915
1,4,long_par4_tight,Thomas Rosenmueller,-0.34196877208724613
1,4,long_par4_tight,Davis Thompson,-0.03642526827563702
1,4,long_par4_tight,Chris Gotterup,-8.989825098259726e-07
1,4,long_par4_tight,Ludvig Åberg,-0.022558107277478336
1,4,long_par4_tight,Greyson Sigg,-0.1719399906380649
1,4,long_par4_tight,Henrik Norlander,-0.35620274738306035
1,4,long_par4_tight,Patrick Fishburn,0.03168227701923923
1,4,long_par4_tight,Antoine Rozner,-0.2664646897718232
1,4,long_par4_tight,Ricky Castillo,0.010890774074266862
