player,player_id,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K,Tier
Scottie Scheffler,46046,99,98,99,89,87,78,99,S
Tommy Fleetwood,30911,89,90,91,88,87,91,98,S
Collin Morikawa,50525,89,94,91,77,73,76,89,S
J.J. Spaun,39324,88,90,91,79,82,85,94,S
Viktor Hovland,46717,88,87,94,74,78,76,89,S
Rico Hoey,51696,87,97,90,77,60,60,79,S
Sepp Straka,49960,87,89,90,76,84,86,93,S
Russell Henley,34098,87,87,89,94,84,90,96,S
Patrick Cantlay,35450,86,91,89,80,82,90,95,S
Shane Lowry,33204,86,87,91,80,77,81,90,S
Rory McIlroy,28237,86,97,83,82,91,87,93,S
Kurt Kitayama,48117,86,95,86,84,74,84,91,S
Ben Griffin,54591,86,89,87,84,87,94,97,S
Aaron Rai,46414,86,92,87,81,77,87,93,S
Si Woo Kim,37455,85,91,87,90,72,82,89,S
Nicolai Hojgaard,52453,85,89,89,69,83,83,90,S
Kevin Yu,45242,85,96,85,73,80,84,91,S
Ben Kohles,36884,85,88,90,78,69,76,86,S
Daniel Berger,40026,85,93,87,72,76,83,90,S
Keegan Bradley,33141,84,91,84,93,78,91,94,S
Doug Ghim,52375,84,91,88,83,63,71,82,S
Xander Schauffele,48081,84,87,89,78,76,85,90,S
Akshay Bhatia,56630,84,86,89,70,85,84,90,S
Robert MacIntyre,52215,84,89,85,82,84,98,98,S
Pierceson Coody,59836,84,99,81,78,77,80,87,S
Corey Conners,39997,84,92,85,73,82,89,93,S
Lee Hodges,54628,84,87,87,80,80,92,94,S
Jordan Spieth,34046,84,91,84,85,82,99,98,S
Justin Thomas,33448,84,87,85,87,86,96,96,S
Lucas Glover,25900,83,87,87,84,73,85,89,S
Hideki Matsuyama,32839,83,82,87,94,79,84,89,S
Victor Perez,47679,83,87,87,71,84,87,91,S
Ryan Gerard,59018,83,88,87,80,73,85,89,S
Bud Cauley,34021,83,88,86,78,82,94,95,S
Nick Taylor,25493,83,85,87,82,82,92,93,S
Taylor Pendrith,40250,83,95,82,77,80,88,91,S
Keith Mitchell,39546,83,95,83,72,79,86,90,A
Maverick McNealy,46442,83,89,84,76,86,92,93,A
Michael Kim,39975,83,86,86,84,79,93,94,A
Chris Kirk,30926,83,87,86,83,73,87,91,A
Thorbjornsen Olesen,33968,83,89,83,79,86,95,95,A
Gary Woodland,31323,82,90,86,64,84,83,87,A
Steven Fisk,57123,82,92,83,85,70,82,87,A
Michael Thorbjornsen,57364,82,96,82,71,78,83,87,A
Joseph Bramlett,34255,82,91,84,90,62,71,81,A
Alex Smalley,46340,82,92,82,83,80,93,93,A
Emiliano Grillo,31646,82,89,85,70,85,88,90,A
Adam Scott,24502,82,91,83,79,77,92,93,A
Sami Valimaki,52666,82,80,88,73,90,79,85,A
Thomas Rosenmueller,60882,82,91,86,65,67,75,83,A
Davis Thompson,58168,82,93,82,83,73,86,89,A
Chris Gotterup,59095,82,95,80,79,79,87,90,A
Ludvig Aberg,52955,82,94,81,75,80,88,90,A
Greyson Sigg,51890,82,86,86,81,70,84,88,A
Henrik Norlander,30163,81,80,90,71,75,78,84,A
Patrick Fishburn,54576,81,90,82,76,83,95,93,A
Antoine Rozner,46646,81,87,87,68,73,82,86,A
Ricky Castillo,59440,81,92,81,84,77,91,91,A
Ryan Fox,29936,81,85,85,79,83,94,93,A
Luke Clanton,66743,81,91,84,70,74,86,88,A
Mac Meissner,59143,81,82,85,88,79,89,90,A
Zac Blair,40058,81,80,88,78,77,83,87,A
Matt Fitzpatrick,40098,81,87,82,82,86,96,94,A
Max McGreevy,51950,81,92,81,75,78,90,91,A
Kevin Roy,39335,81,90,81,79,83,95,93,A
Harry Hall,57975,81,84,80,91,97,79,84,A
Jesper Svensson,57586,81,95,79,81,78,86,88,A
J.T. Poston,49771,81,88,82,85,80,99,96,A
Austin Eckroat,57362,80,89,84,65,78,86,87,A
Ryo Hisatsune,51287,80,88,83,83,75,93,91,A
Jake Knapp,47420,80,90,80,75,88,89,89,A
Rickie Fowler,32102,80,90,81,76,81,95,93,A
Cameron Young,57366,80,91,79,77,92,84,86,B
Jhonattan Vegas,27064,80,90,82,75,74,89,89,B
Joel Dahmen,34076,80,89,83,75,75,91,90,B
Harris English,34099,80,90,79,78,88,90,90,B
Sam Burns,47504,80,88,79,78,99,75,81,B
Denny McCarthy,47993,80,81,83,78,93,81,85,B
Matt Wallace,48887,79,83,82,95,80,88,88,B
Garrick Higgo,54421,79,88,79,82,93,85,86,B
Aldrich Potgieter,63343,79,95,78,66,82,81,84,B
Jackson Suber,60019,79,83,84,73,80,92,90,B
Seamus Power,28252,79,86,82,81,75,95,92,B
Matt McCarty,59141,79,87,80,80,88,91,89,B
Stephan Jaeger,36799,79,79,84,88,84,86,87,B
Chan Kim,34587,79,82,84,83,73,88,88,B
Niklas Norgaard,35706,79,96,78,62,83,77,82,B
Brian Harman,27644,79,85,81,83,80,99,94,B
Matti Schmid,48867,79,87,81,68,85,89,88,B
Mark Hubbard,36801,79,85,82,76,83,97,93,B
Justin Rose,22405,79,81,84,76,82,90,89,B
Matt Kuchar,23108,79,81,82,87,87,88,88,B
Andrew Novak,51997,79,86,80,84,83,97,93,B
David Skinns,27139,79,82,85,77,75,90,89,B
Jason Day,28089,79,87,79,89,83,93,91,B
Nico Echavarria,51349,79,84,82,68,93,80,83,B
Andrew Putnam,34256,79,73,85,94,88,73,79,B
Lanto Griffin,35310,79,84,83,74,81,95,92,B
Vince Whaley,51894,79,85,80,85,85,94,91,B
Tom Kim,55182,78,82,83,85,77,92,89,B
Kris Ventura,35658,78,87,80,74,85,92,89,B
Nick Hardy,47988,78,88,82,70,76,92,89,B
Carson Young,52513,78,88,81,68,77,91,89,B
David Lipsky,36326,78,81,84,81,73,87,86,B
Erik van Rooyen,40006,78,89,81,78,71,89,87,B
Isaiah Salinda,56781,78,94,78,75,67,78,81,B
Nate Lashley,28775,78,84,83,77,77,96,91,B
Trey Mullinax,46601,78,86,81,71,80,95,91,B
Adam Svensson,40115,78,81,84,87,68,81,83,C
Sam Stevens,55893,78,91,77,85,81,90,88,C
Max Greyserman,51977,78,84,80,83,85,94,90,C
Sam Ryder,37275,78,82,81,75,92,83,84,C
Rasmus Højgaard,52686,78,89,79,78,78,96,91,C
Alejandro Tosti,38991,78,91,78,84,68,80,82,C
Patrick Rodgers,36699,78,87,79,82,80,96,91,C
Taylor Moore,49947,77,88,77,89,77,89,87,C
Eric Cole,47591,77,77,83,83,84,85,84,C
Thomas Detry,33653,77,88,78,76,82,94,89,C
Jacob Bridgeman,60004,77,84,79,82,87,90,87,C
Thriston Lawrence,45523,77,89,79,74,73,90,87,C
Christiaan Bezuidenhout,45522,77,79,80,89,89,82,83,C
Chad Ramey,47983,77,86,79,75,83,95,90,C
Trevor Cone,49453,77,90,78,74,72,88,86,C
Byeong Hun An,33948,77,92,76,84,71,82,83,C
William Mouw,63121,77,90,77,72,83,88,86,C
Ben Martin,33413,77,82,81,79,80,97,91,C
Wyndham Clark,51766,77,87,76,88,82,89,87,C
Brandt Snedeker,27649,77,80,80,80,90,84,84,C
John Pak,59160,77,80,83,78,68,85,84,C
Adam Schenk,47347,77,86,79,73,78,97,91,C
Danny Walker,54607,77,85,78,78,84,94,89,C
Hayden Springer,50484,76,89,76,73,86,87,85,C
Tom Hoge,35532,76,75,85,78,77,82,82,C
Takumi Kanaya,47917,76,88,75,89,86,84,83,C
Noah Goodwin,55165,76,85,78,78,81,97,90,C
Zach Johnson,24024,76,79,81,77,88,84,83,C
Tony Finau,29725,76,84,78,85,77,94,89,C
Matteo Manassero,33199,76,68,84,99,80,65,72,C
Will Gordon,56762,76,87,79,71,72,92,87,C
Mackenzie Hughes,35506,76,82,78,89,81,89,86,C
Justin Lower,40162,76,84,80,70,78,97,90,C
Chandler Phillips,57900,76,80,79,85,79,92,87,C
Luke List,27129,76,92,75,74,76,85,84,C
Brice Garnett,29535,75,85,77,81,83,92,87,C
Jeremy Paul,50582,75,84,78,78,80,97,89,D
Paul Peterson,36824,75,76,81,83,85,82,81,D
Hayden Buckley,55708,75,87,79,69,69,88,84,D
Harry Higgs,33597,75,86,78,66,79,92,87,D
Min Woo Lee,37378,75,86,74,90,83,85,83,D
Sahith Theegala,51634,75,83,78,78,76,98,90,D
Karl Vilips,54304,75,80,81,73,71,92,87,D
Max Homa,39977,75,85,76,75,81,94,88,D
Rikuya Hoshino,47056,75,85,76,78,79,95,88,D
Patton Kizzire,32757,75,78,79,95,74,80,80,D
Quade Cummins,58605,74,86,75,71,84,88,84,D
Taylor Montgomery,55789,74,74,77,89,98,66,71,D
Beau Hossler,35461,74,80,74,93,85,80,79,D
Ben Silverman,39327,73,85,74,81,83,87,82,D
Kevin Velo,58619,73,85,76,75,69,90,84,D
Cam Davis,45157,73,79,78,74,79,95,87,D
Camilo Villegas,27770,73,73,80,80,81,81,79,D
Joe Highsmith,60067,73,84,75,74,77,96,87,D
Matthew Riedel,64693,72,84,76,62,77,92,84,D
Adam Hadwin,33399,72,83,74,77,80,91,84,D
Tim Widing,50474,72,85,75,66,74,93,85,D
Sungjae Im,39971,72,91,66,96,81,66,70,D
Brian Campbell,46443,71,68,80,83,84,72,72,D
Davis Riley,47995,71,78,74,87,82,81,77,D
Matthieu Pavon,48153,71,85,74,60,80,86,80,D
Nick Dunlap,59866,69,60,82,81,82,60,64,D
Kaito Onishi,55623,68,73,75,74,81,84,76,D
Rafael Campos,32070,68,79,73,69,78,92,81,D
Taylor Dickson,51690,68,80,71,76,72,90,80,D
Cristobal Del Solar,39859,68,74,74,71,82,85,77,D
Peter Malnati,34466,67,73,71,90,80,75,70,D
Will Chandler,58933,67,84,67,79,74,80,73,D
Mason Andersen,52370,66,77,69,81,79,80,72,D
Braden Thornberry,52144,65,75,68,80,87,71,66,D
Frankie Capan III,49590,63,65,71,77,89,63,60,D
Ryan Palmer,23320,60,85,60,75,62,67,60,D
