player,player_id,Overall2K,Tier,TalentScore,mu,sigma,form
Scottie Scheffler,46046,99,S,0.89185,0.89185,0.44526424738575177,0.89185
Tommy Fleetwood,30911,89,S,0.47375,0.47375,0.21437875361145284,0.47375
Collin Morikawa,50525,89,S,0.45275000000000004,0.45275000000000004,0.4929658541251446,0.45275000000000004
J.J. Spaun,39324,88,S,0.43324999999999997,0.43324999999999997,0.3196679266572318,0.43324999999999997
Viktor Hovland,46717,88,S,0.42844999999999994,0.42844999999999994,0.4988460016210748,0.42844999999999994
Rico Hoey,51696,87,S,0.39995,0.39995,0.7788921084891454,0.39995
Sepp Straka,49960,87,S,0.38625000000000004,0.38625000000000004,0.3077260686606407,0.38625000000000004
Russell Henley,34098,87,S,0.37029999999999996,0.37029999999999996,0.2268250059700943,0.37029999999999996
Patrick Cantlay,35450,86,S,0.36469999999999997,0.36469999999999997,0.22598875340747968,0.36469999999999997
Shane Lowry,33204,86,S,0.36345000000000005,0.36345000000000005,0.39230855203525705,0.36345000000000005
Rory McIlroy,28237,86,S,0.34935000000000005,0.34935000000000005,0.2886813410434881,0.34935000000000005
Kurt Kitayama,48117,86,S,0.33415000000000006,0.33415000000000006,0.3505475478923413,0.33415000000000006
Ben Griffin,54591,86,S,0.33215,0.33215,0.15417414396281454,0.33215
Aaron Rai,46414,86,S,0.32965,0.32965,0.28243996412217115,0.32965
Si Woo Kim,37455,85,S,0.30995,0.30995,0.3716910679583248,0.30995
Nicolai Højgaard,52453,85,S,0.3094,0.3094,0.3635652165247201,0.3094
Kevin Yu,45242,85,S,0.30355000000000004,0.30355000000000004,0.3358108346475239,0.30355000000000004
Ben Kohles,36884,85,S,0.2882,0.2882,0.4891686825625696,0.2882
Daniel Berger,40026,85,S,0.28550000000000003,0.28550000000000003,0.3509818371369094,0.28550000000000003
Keegan Bradley,33141,84,S,0.28075,0.28075,0.21286517642238556,0.28075
Doug Ghim,52375,84,S,0.26765000000000005,0.26765000000000005,0.5874935460638413,0.26765000000000005
Xander Schauffele,48081,84,S,0.2621,0.2621,0.32784295020634496,0.2621
Akshay Bhatia,56630,84,S,0.25794999999999996,0.25794999999999996,0.3477609332093912,0.25794999999999996
Robert MacIntyre,52215,84,S,0.24935,0.24935,0.08780470754274321,0.24935
Pierceson Coody,59836,84,S,0.24929999999999997,0.24929999999999997,0.41392058417044203,0.24929999999999997
Corey Conners,39997,84,S,0.2485,0.2485,0.24100121023209267,0.2485
Lee Hodges,54628,84,S,0.24575,0.24575,0.2015324622321013,0.24575
Jordan Spieth,34046,84,S,0.2432,0.2432,0.0671782454866653,0.2432
Justin Thomas,33448,84,S,0.24250000000000002,0.24250000000000002,0.12026221351696467,0.24250000000000002
Lucas Glover,25900,83,S,0.23435,0.23435,0.3191603567696548,0.23435
Hideki Matsuyama,32839,83,S,0.23419999999999996,0.23419999999999996,0.34093437785004904,0.23419999999999996
Victor Perez,47679,83,S,0.23179999999999998,0.23179999999999998,0.28812656362554745,0.23179999999999998
Ryan Gerard,59018,83,S,0.23095,0.23095,0.31585162655905386,0.23095
Bud Cauley,34021,83,S,0.22644999999999998,0.22644999999999998,0.15698089055678083,0.22644999999999998
Nick Taylor,25493,83,S,0.2201,0.2201,0.18366364183837075,0.2201
Taylor Pendrith,40250,83,S,0.2179,0.2179,0.2593993060900511,0.2179
Keith Mitchell,39546,83,A,0.20715,0.20715,0.31014297778067884,0.20715
Maverick McNealy,46442,83,A,0.20525000000000002,0.20525000000000002,0.18605554726120546,0.20525000000000002
Michael Kim,39975,83,A,0.20145,0.20145,0.16539321832126813,0.20145
Chris Kirk,30926,83,A,0.19895000000000002,0.19895000000000002,0.2848678055987841,0.19895000000000002
Thorbjørn Olesen,33968,83,A,0.19840000000000002,0.19840000000000002,0.13616778865306825,0.19840000000000002
Gary Woodland,31323,82,A,0.19675,0.19675,0.35965075652174944,0.19675
Steven Fisk,57123,82,A,0.19095,0.19095,0.37838164155607057,0.19095
Michael Thorbjornsen,57364,82,A,0.18874999999999997,0.18874999999999997,0.3565674316778431,0.18874999999999997
Joseph Bramlett,34255,82,A,0.18669999999999998,0.18669999999999998,0.579508052863231,0.18669999999999998
Alex Smalley,46340,82,A,0.18309999999999998,0.18309999999999998,0.16607628769132976,0.18309999999999998
Emiliano Grillo,31646,82,A,0.181,0.181,0.264604106796046,0.181
Adam Scott,24502,82,A,0.1754,0.1754,0.19211801928328673,0.1754
Sami Valimaki,52666,82,A,0.17300000000000004,0.17300000000000004,0.44370363607555297,0.17300000000000004
Thomas Rosenmueller,60882,82,A,0.16975,0.16975,0.5154120519868868,0.16975
Davis Thompson,58168,82,A,0.1689,0.1689,0.31138989493345265,0.1689
Chris Gotterup,59095,82,A,0.1687,0.1687,0.28019814417658084,0.1687
Ludvig Åberg,52955,82,A,0.1629,0.1629,0.2746141232104909,0.1629
Greyson Sigg,51890,82,A,0.15680000000000002,0.15680000000000002,0.3494809246105811,0.15680000000000002
Henrik Norlander,30163,81,A,0.15525000000000003,0.15525000000000003,0.4595007254256153,0.15525000000000003
Patrick Fishburn,54576,81,A,0.15195,0.15195,0.1357531460654473,0.15195
Antoine Rozner,46646,81,A,0.1476,0.1476,0.3733241442321494,0.1476
Ricky Castillo,59440,81,A,0.1448,0.1448,0.20626196934965982,0.1448
Ryan Fox,29936,81,A,0.14470000000000002,0.14470000000000002,0.15966945021929943,0.14470000000000002
Luke Clanton,66743,81,A,0.14109999999999998,0.14109999999999998,0.3076404828150331,0.14109999999999998
Mac Meissner,59143,81,A,0.14020000000000002,0.14020000000000002,0.24416592718886887,0.14020000000000002
Zac Blair,40058,81,A,0.13930000000000003,0.13930000000000003,0.359557598538352,0.13930000000000003
Matt Fitzpatrick,40098,81,A,0.1331,0.1331,0.11013136095893244,0.1331
Max McGreevy,51950,81,A,0.129,0.129,0.23366642891095846,0.129
Kevin Roy,39335,81,A,0.12134999999999999,0.12134999999999999,0.13188505095979097,0.12134999999999999
Harry Hall,57975,81,A,0.11735000000000001,0.11735000000000001,0.44013511183120424,0.11735000000000001
Jesper Svensson,57586,81,A,0.11695000000000003,0.11695000000000003,0.3056015924914878,0.11695000000000003
J.T. Poston,49771,81,A,0.11380000000000001,0.11380000000000001,0.0690965508063415,0.11380000000000001
Austin Eckroat,57362,80,A,0.11305000000000003,0.11305000000000003,0.29921048889814456,0.11305000000000003
Ryo Hisatsune,51287,80,A,0.11164999999999999,0.11164999999999999,0.17521296565418135,0.11164999999999999
Jake Knapp,47420,80,A,0.108,0.108,0.24623092142675068,0.108
Rickie Fowler,32102,80,A,0.10435,0.10435,0.14370890717001505,0.10435
Cameron Young,57366,80,B,0.09855,0.09855,0.35038883163327755,0.09855
Jhonattan Vegas,27064,80,B,0.09030000000000002,0.09030000000000002,0.24166005738088644,0.09030000000000002
