player,player_id,mu,sigma,form,tss_ott,tss_app,tss_arg,tss_putt,TalentScore,Tier,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K
Scottie Scheffler,46046,0.89185,0.44526424738575177,0.89185,0.748,1.291,0.322,0.382,0.89185,S,99,98,99,89,87,78,99
Tommy Fleetwood,30911,0.47375,0.21437875361145284,0.47375,0.242,0.711,0.272,0.404,0.47375,S,89,90,91,88,87,91,98
Collin Morikawa,50525,0.45275000000000004,0.4929658541251446,0.45275000000000004,0.492,0.765,-0.052,-0.313,0.45275000000000004,S,89,94,91,77,73,76,89
J.J. Spaun,39324,0.43324999999999997,0.3196679266572318,0.43324999999999997,0.291,0.738,0.017,0.113,0.43324999999999997,S,88,90,91,79,82,85,94
Viktor Hovland,46717,0.42844999999999994,0.4988460016210748,0.42844999999999994,0.099,0.945,-0.13,-0.07,0.42844999999999994,S,88,87,94,74,78,76,89
Rico Hoey,51696,0.39995,0.7788921084891454,0.39995,0.678,0.667,-0.044,-0.97,0.39995,S,87,97,90,77,60,60,79
Sepp Straka,49960,0.38625000000000004,0.3077260686606407,0.38625000000000004,0.228,0.677,-0.07,0.237,0.38625000000000004,S,87,89,90,76,84,86,93
Russell Henley,34098,0.37029999999999996,0.2268250059700943,0.37029999999999996,0.071,0.577,0.449,0.22,0.37029999999999996,S,87,87,89,94,84,90,96
Patrick Cantlay,35450,0.36469999999999997,0.22598875340747968,0.36469999999999997,0.298,0.564,0.04,0.155,0.36469999999999997,S,86,91,89,80,82,90,95
Shane Lowry,33204,0.36345000000000005,0.39230855203525705,0.36345000000000005,0.084,0.765,0.042,-0.123,0.36345000000000005,S,86,87,91,80,77,81,90
Rory McIlroy,28237,0.34935000000000005,0.2886813410434881,0.34935000000000005,0.671,0.157,0.118,0.597,0.34935000000000005,S,86,97,83,82,91,87,93
Kurt Kitayama,48117,0.33415000000000006,0.3505475478923413,0.33415000000000006,0.535,0.389,0.17,-0.269,0.33415000000000006,S,86,95,86,84,74,84,91
Ben Griffin,54591,0.33215,0.15417414396281454,0.33215,0.196,0.466,0.153,0.407,0.33215,S,86,89,87,84,87,94,97
Aaron Rai,46414,0.32965,0.28243996412217115,0.32965,0.391,0.476,0.077,-0.134,0.32965,S,86,92,87,81,77,87,93
Si Woo Kim,37455,0.30995,0.3716910679583248,0.30995,0.343,0.425,0.35,-0.367,0.30995,S,85,91,87,90,72,82,89
Nicolai Højgaard,52453,0.3094,0.3635652165247201,0.3094,0.212,0.6,-0.288,0.19,0.3094,S,85,89,89,69,83,83,90
Kevin Yu,45242,0.30355000000000004,0.3358108346475239,0.30355000000000004,0.615,0.31,-0.145,0.013,0.30355000000000004,S,85,96,85,73,80,84,91
Ben Kohles,36884,0.2882,0.4891686825625696,0.2882,0.161,0.656,-0.016,-0.529,0.2882,S,85,88,90,78,69,76,86
Daniel Berger,40026,0.28550000000000003,0.3509818371369094,0.28550000000000003,0.414,0.456,-0.192,-0.151,0.28550000000000003,S,85,93,87,72,76,83,90
Keegan Bradley,33141,0.28075,0.21286517642238556,0.28075,0.316,0.278,0.443,-0.056,0.28075,S,84,91,84,93,78,91,94
Doug Ghim,52375,0.26765000000000005,0.5874935460638413,0.26765000000000005,0.297,0.531,0.136,-0.808,0.26765000000000005,S,84,91,88,83,63,71,82
Xander Schauffele,48081,0.2621,0.32784295020634496,0.2621,0.076,0.578,-0.016,-0.184,0.2621,S,84,87,89,78,76,85,90
Akshay Bhatia,56630,0.25794999999999996,0.3477609332093912,0.25794999999999996,0.024,0.575,-0.238,0.277,0.25794999999999996,S,84,86,89,70,85,84,90
Robert MacIntyre,52215,0.24935,0.08780470754274321,0.24935,0.228,0.312,0.103,0.251,0.24935,S,84,89,85,82,84,98,98
Pierceson Coody,59836,0.24929999999999997,0.41392058417044203,0.24929999999999997,0.789,0.058,-0.006,-0.126,0.24929999999999997,S,84,99,81,78,77,80,87
Corey Conners,39997,0.2485,0.24100121023209267,0.2485,0.388,0.315,-0.153,0.133,0.2485,S,84,92,85,73,82,89,93
Lee Hodges,54628,0.24575,0.2015324622321013,0.24575,0.075,0.465,0.056,0.056,0.24575,S,84,87,87,80,80,92,94
Jordan Spieth,34046,0.2432,0.0671782454866653,0.2432,0.313,0.23,0.204,0.152,0.2432,S,84,91,84,85,82,99,98
Justin Thomas,33448,0.24250000000000002,0.12026221351696467,0.24250000000000002,0.078,0.325,0.259,0.34,0.24250000000000002,S,84,87,85,87,86,96,96
Lucas Glover,25900,0.23435,0.3191603567696548,0.23435,0.117,0.458,0.165,-0.316,0.23435,S,83,87,87,84,73,85,89
Hideki Matsuyama,32839,0.23419999999999996,0.34093437785004904,0.23419999999999996,-0.171,0.483,0.477,-0.034,0.23419999999999996,S,83,82,87,94,79,84,89
Victor Perez,47679,0.23179999999999998,0.28812656362554745,0.23179999999999998,0.09,0.479,-0.215,0.215,0.23179999999999998,S,83,87,87,71,84,87,91
Ryan Gerard,59018,0.23095,0.31585162655905386,0.23095,0.16,0.457,0.054,-0.308,0.23095,S,83,88,87,80,73,85,89
Bud Cauley,34021,0.22644999999999998,0.15698089055678083,0.22644999999999998,0.149,0.377,0.002,0.118,0.22644999999999998,S,83,88,86,78,82,94,95
Nick Taylor,25493,0.2201,0.18366364183837075,0.2201,0.002,0.427,0.097,0.128,0.2201,S,83,85,87,82,82,92,93
Taylor Pendrith,40250,0.2179,0.2593993060900511,0.2179,0.542,0.128,-0.034,0.028,0.2179,S,83,95,82,77,80,88,91
Keith Mitchell,39546,0.20715,0.31014297778067884,0.20715,0.533,0.172,-0.193,-0.012,0.20715,A,83,95,83,72,79,86,90
Maverick McNealy,46442,0.20525000000000002,0.18605554726120546,0.20525000000000002,0.185,0.28,-0.075,0.35,0.20525000000000002,A,83,89,84,76,86,92,93
Michael Kim,39975,0.20145,0.16539321832126813,0.20145,0.043,0.368,0.155,-0.003,0.20145,A,83,86,86,84,79,93,94
Chris Kirk,30926,0.19895000000000002,0.2848678055987841,0.19895000000000002,0.12,0.388,0.123,-0.301,0.19895000000000002,A,83,87,86,83,73,87,91
