player,TalentScore,Tier
Keith Mitchell,0.20715,A
Maverick McNealy,0.20525,A
Michael Kim,0.20145,A
Chris Kirk,0.19895,A
Thorbjørn Olesen,0.1984,A
Gary Woodland,0.19675,A
Steven Fisk,0.19095,A
Michael Thorbjornsen,0.1887499999999999,A
Joseph Bramlett,0.1866999999999999,A
Alex Smalley,0.1830999999999999,A
Emiliano Grillo,0.181,A
Adam Scott,0.1754,A
Sami Valimaki,0.173,A
Thomas Rosenmueller,0.16975,A
Davis Thompson,0.1689,A
Chris Gotterup,0.1687,A
Ludvig Åberg,0.1629,A
Greyson Sigg,0.1568,A
Henrik Norlander,0.15525,A
Patrick Fishburn,0.15195,A
Antoine Rozner,0.1476,A
Ricky Castillo,0.1448,A
Ryan Fox,0.1447,A
Luke Clanton,0.1410999999999999,A
Mac Meissner,0.1402,A
Zac Blair,0.1393,A
Matt Fitzpatrick,0.1331,A
Max McGreevy,0.129,A
Kevin Roy,0.1213499999999999,A
Harry Hall,0.11735,A
Jesper Svensson,0.11695,A
J.T. Poston,0.1138,A
Austin Eckroat,0.11305,A
Ryo Hisatsune,0.1116499999999999,A
Jake Knapp,0.108,A
Rickie Fowler,0.10435,A
