player,TalentScore,Tier
Cameron Young,0.09855,B
Jhonattan Vegas,0.0903,B
Joel Dahmen,0.0896,B
Harris English,0.08875,B
Sam Burns,0.0868999999999999,B
Denny McCarthy,0.0775,B
Matt Wallace,0.069,B
Garrick Higgo,0.06895,B
Aldrich Potgieter,0.0660499999999999,B
Jackson Suber,0.0623,B
Seamus Power,0.0571499999999999,B
Matt McCarty,0.05385,B
Stephan Jaeger,0.05375,B
Chan Kim,0.0528,B
Niklas Norgaard,0.05275,B
Brian Harman,0.05055,B
Matti Schmid,0.04615,B
Mark Hubbard,0.04415,B
Justin Rose,0.04185,B
Matt Kuchar,0.04075,B
Andrew Novak,0.03985,B
David Skinns,0.0396499999999999,B
Jason Day,0.0389999999999999,B
Nico Echavarria,0.0378,B
Andrew Putnam,0.0358,B
Lanto Griffin,0.0353,B
Vince Whaley,0.03135,B
Tom Kim,0.02645,B
Kris Ventura,0.0261999999999999,B
Nick Hardy,0.02525,B
Carson Young,0.0237,B
David Lipsky,0.02365,B
Erik van Rooyen,0.0194499999999999,B
Isaiah Salinda,0.0182999999999999,B
Nate Lashley,0.01575,B
Trey Mullinax,0.0116,B
