player,TalentScore,Tier
Adam Svensson,0.01155,C
Sam Stevens,0.0112999999999999,C
Max Greyserman,0.0112,C
Sam Ryder,0.0077,C
Rasmus Højgaard,0.0026999999999999,C
Alejandro Tosti,-0.00025,C
Patrick Rodgers,-0.002,C
Taylor Moore,-0.01345,C
Eric Cole,-0.0148499999999999,C
Thomas Detry,-0.02235,C
Jacob Bridgeman,-0.02255,C
Thriston Lawrence,-0.024,C
Christiaan Bezuidenhout,-0.0275499999999999,C
Chad Ramey,-0.0384999999999999,C
Trevor Cone,-0.0389999999999999,C
Byeong Hun An,-0.03965,C
William Mouw,-0.0397,C
Ben Martin,-0.04025,C
Wyndham Clark,-0.0416,C
Brandt Snedeker,-0.0433499999999999,C
John Pak,-0.0468999999999999,C
Adam Schenk,-0.0513,C
Danny Walker,-0.053,C
Hayden Springer,-0.05625,C
Tom Hoge,-0.0566,C
Takumi Kanaya,-0.0573,C
Noah Goodwin,-0.06815,C
Zach Johnson,-0.06895,C
Tony Finau,-0.06915,C
Matteo Manassero,-0.0784499999999999,C
Will Gordon,-0.07925,C
Mackenzie Hughes,-0.0847,C
Justin Lower,-0.09115,C
Chandler Phillips,-0.0915,C
Luke List,-0.09215,C
Brice Garnett,-0.1066,C
