player,TalentScore,Tier
Jeremy Paul,-0.1103499999999999,D
Paul Peterson,-0.1162999999999999,D
Hayden Buckley,-0.11985,D
Harry Higgs,-0.1206999999999999,D
Min Woo Lee,-0.1227999999999999,D
Sahith Theegala,-0.12795,D
Karl Vilips,-0.1301999999999999,D
Max Homa,-0.13385,D
Rikuya Hoshino,-0.1366,D
Patton Kizzire,-0.1377,D
Quade Cummins,-0.1465499999999999,D
Taylor Montgomery,-0.15745,D
Beau Hossler,-0.181,D
Ben Silverman,-0.1856999999999999,D
Kevin Velo,-0.2022,D
Cam Davis,-0.2124999999999999,D
Camilo Villegas,-0.2168,D
Joe Highsmith,-0.2222,D
Matthew Riedel,-0.24625,D
Adam Hadwin,-0.2514,D
Tim Widing,-0.2546,D
Sungjae Im,-0.26015,D
Brian Campbell,-0.2725499999999999,D
Davis Riley,-0.2866,D
Matthieu Pavon,-0.2937999999999999,D
Nick Dunlap,-0.36065,D
Kaito Onishi,-0.3985,D
Rafael Campos,-0.4036,D
Taylor Dickson,-0.41925,D
Cristobal Del Solar,-0.4267,D
Peter Malnati,-0.4489999999999999,D
Will Chandler,-0.4628,D
Mason Andersen,-0.4978499999999999,D
Braden Thornberry,-0.5268999999999999,D
Frankie Capan III,-0.6161500000000001,D
Ryan Palmer,-0.7495,D
