player,TalentScore,Tier
Scottie Scheffler,0.89185,S
Tommy Fleetwood,0.47375,S
Collin Morikawa,0.45275,S
J.J. Spaun,0.4332499999999999,S
Viktor Hovland,0.4284499999999999,S
Rico Hoey,0.39995,S
Sepp Straka,0.38625,S
Russell Henley,0.3702999999999999,S
Patrick Cantlay,0.3646999999999999,S
Shane Lowry,0.36345,S
Rory McIlroy,0.34935,S
Kurt Kitayama,0.33415,S
Ben Griffin,0.33215,S
Aaron Rai,0.32965,S
Si Woo Kim,0.30995,S
Nicolai Højgaard,0.3094,S
Kevin Yu,0.30355,S
Ben Kohles,0.2882,S
Daniel Berger,0.2855,S
Keegan Bradley,0.28075,S
Doug Ghim,0.26765,S
Xander Schauffele,0.2621,S
Akshay Bhatia,0.2579499999999999,S
Robert MacIntyre,0.24935,S
Pierceson Coody,0.2492999999999999,S
Corey Conners,0.2485,S
Lee Hodges,0.24575,S
Jordan Spieth,0.2432,S
Justin Thomas,0.2425,S
Lucas Glover,0.23435,S
Hideki Matsuyama,0.2341999999999999,S
Victor Perez,0.2317999999999999,S
Ryan Gerard,0.23095,S
Bud Cauley,0.2264499999999999,S
Nick Taylor,0.2201,S
Taylor Pendrith,0.2179,S
