player_name,Tier,TalentScore,OverallRating,win_pct,top5_pct,avg_finish
Scottie Scheffler,S,0.89,99,4.279999999999999,15.58,28.1218
Tommy Fleetwood,S,0.47,89,4.02,16.8,27.2554
Russell Henley,S,0.37,87,3.1199999999999997,12.379999999999999,31.771
Collin Morikawa,S,0.45,89,2.7199999999999998,11.899999999999999,31.89
Patrick Cantlay,S,0.36,86,2.7,10.6,33.802
Sepp Straka,S,0.39,87,2.54,12.02,32.001
J.J. Spaun,S,0.43,88,2.52,12.82,31.0122
Rory McIlroy,A,0.35,86,2.34,9.92,33.3798
Shane Lowry,A,0.36,86,2.2800000000000002,9.26,34.609
Viktor Hovland,S,0.43,88,2.22,11.66,32.4442
Aaron Rai,A,0.33,86,2.0,8.86,35.1312
Ben Griffin,A,0.33,86,1.96,10.22,33.6014
Keegan Bradley,A,0.28,84,1.8599999999999999,8.04,36.5034
Rico Hoey,S,0.4,87,1.7999999999999998,8.540000000000001,36.6614
Kurt Kitayama,A,0.33,86,1.7999999999999998,8.84,35.3256
Si Woo Kim,A,0.31,85,1.7399999999999998,8.62,35.9342
Nicolai Højgaard,A,0.31,85,1.5599999999999998,7.580000000000001,37.4764
Jordan Spieth,A,0.24,84,1.44,7.7,37.5228
Thorbjørn Olesen,B,0.2,83,1.4200000000000002,6.16,40.4864
Justin Thomas,A,0.24,84,1.4000000000000001,7.5200000000000005,37.48
Nick Taylor,A,0.22,83,1.4000000000000001,6.5600000000000005,39.8064
Kevin Yu,A,0.3,85,1.4000000000000001,7.359999999999999,36.8834
Daniel Berger,A,0.29,85,1.38,6.800000000000001,38.3754
Corey Conners,A,0.25,84,1.3599999999999999,6.76,38.8038
Bud Cauley,A,0.23,83,1.32,6.7,38.5618
Pierceson Coody,A,0.25,84,1.3,5.779999999999999,40.548
Xander Schauffele,A,0.26,84,1.3,6.76,39.2978
Lee Hodges,A,0.25,84,1.28,6.88,37.7446
Lucas Glover,A,0.23,83,1.26,5.800000000000001,40.0014
Robert MacIntyre,A,0.25,84,1.24,7.140000000000001,37.3382
Ben Kohles,A,0.29,85,1.22,6.260000000000001,39.3592
Akshay Bhatia,A,0.26,84,1.18,6.32,39.126
Maverick McNealy,B,0.21,83,1.18,6.16,40.1802
Hideki Matsuyama,A,0.23,83,1.16,6.819999999999999,38.771
Michael Kim,B,0.2,83,1.1400000000000001,6.5,40.4282
Doug Ghim,A,0.27,84,1.1400000000000001,6.08,40.4994
Keith Mitchell,B,0.21,83,1.1400000000000001,5.56,41.6438
Ryan Gerard,A,0.23,83,1.1199999999999999,5.9799999999999995,40.4632
Emiliano Grillo,B,0.18,82,1.06,5.12,42.42
Michael Thorbjornsen,B,0.19,82,1.0,5.1,42.8458
Patrick Fishburn,B,0.15,81,1.0,4.5,42.974
Steven Fisk,B,0.19,82,0.96,4.84,42.8394
Ryan Fox,B,0.14,81,0.96,4.26,42.9566
Chris Kirk,B,0.2,83,0.96,5.3,41.0514
Adam Scott,B,0.18,82,0.9400000000000001,4.64,41.8146
Taylor Pendrith,A,0.22,83,0.9400000000000001,5.34,40.8658
Victor Perez,A,0.23,83,0.9199999999999999,6.08,40.2002
Alex Smalley,B,0.18,82,0.9199999999999999,5.52,41.9662
Ludvig Åberg,B,0.16,82,0.88,4.06,43.4556
Harry Hall,B,0.12,81,0.86,4.5,42.9256
Ricky Castillo,B,0.14,81,0.84,4.66,43.1658
Davis Thompson,B,0.17,82,0.84,4.5600000000000005,43.0598
Jesper Svensson,B,0.12,81,0.84,3.7199999999999998,45.016
Sam Burns,B,0.09,80,0.8,3.84,45.9242
J.T. Poston,B,0.11,81,0.7799999999999999,4.36,43.4622
Chris Gotterup,B,0.17,82,0.7799999999999999,4.68,42.9012
Greyson Sigg,B,0.16,82,0.7799999999999999,4.36,44.4096
Denny McCarthy,B,0.08,80,0.7799999999999999,3.92,45.777
Ryo Hisatsune,B,0.11,80,0.76,4.02,44.991
Gary Woodland,B,0.2,82,0.76,4.84,42.9814
Matt Fitzpatrick,B,0.13,81,0.74,4.74,42.8534
Harris English,B,0.09,80,0.74,3.8,45.3666
Kevin Roy,B,0.12,81,0.72,4.2,43.659
Sami Valimaki,B,0.17,82,0.72,4.5600000000000005,43.1086
Max McGreevy,B,0.13,81,0.7000000000000001,3.6799999999999997,45.047
Austin Eckroat,B,0.11,80,0.7000000000000001,3.38,47.0196
Thomas Rosenmueller,B,0.17,82,0.7000000000000001,3.92,45.369
Cameron Young,B,0.1,80,0.7000000000000001,3.8600000000000003,44.5774
Zac Blair,B,0.14,81,0.66,3.9600000000000004,44.9164
Luke Clanton,B,0.14,81,0.64,3.84,45.8804
Jake Knapp,B,0.11,80,0.62,4.08,45.0498
Joel Dahmen,B,0.09,80,0.58,3.16,47.0952
Matt Wallace,B,0.07,79,0.58,4.02,45.5244
Henrik Norlander,B,0.16,81,0.5599999999999999,3.66,45.691
Antoine Rozner,B,0.15,81,0.54,3.06,46.3712
Joseph Bramlett,B,0.19,82,0.52,4.06,43.7254
Rickie Fowler,B,0.1,80,0.52,3.3000000000000003,45.1942
Mac Meissner,B,0.14,81,0.5,4.64,42.904
Garrick Higgo,B,0.07,79,0.5,3.38,45.5286
Jhonattan Vegas,B,0.09,80,0.45999999999999996,3.2399999999999998,46.8744
